,DATE,Price
72,1990-01-01,1.557
73,1990-02-01,1.572
74,1990-03-01,1.571
75,1990-04-01,1.593
76,1990-05-01,1.577
77,1990-06-01,1.593
78,1990-07-01,1.581
79,1990-08-01,1.576
80,1990-09-01,1.594
81,1990-10-01,1.582
82,1990-11-01,1.622
83,1990-12-01,1.63
84,1991-01-01,1.647
85,1991-02-01,1.632
86,1991-03-01,1.61
87,1991-04-01,1.611
88,1991-05-01,1.624
89,1991-06-01,1.604
90,1991-07-01,1.586
91,1991-08-01,1.578
92,1991-09-01,1.553
93,1991-10-01,1.552
94,1991-11-01,1.567
95,1991-12-01,1.577
96,1992-01-01,1.601
97,1992-02-01,1.587
98,1992-03-01,1.545
99,1992-04-01,1.563
100,1992-05-01,1.545
101,1992-06-01,1.535
102,1992-07-01,1.487
103,1992-08-01,1.533
104,1992-09-01,1.521
105,1992-10-01,1.546
106,1992-11-01,1.535
107,1992-12-01,1.5
108,1993-01-01,1.565
109,1993-02-01,1.562
110,1993-03-01,1.562
111,1993-04-01,1.588
112,1993-05-01,1.56
113,1993-06-01,1.562
114,1993-07-01,1.577
115,1993-08-01,1.573
116,1993-09-01,1.551
117,1993-10-01,1.556
118,1993-11-01,1.6
119,1993-12-01,1.574
120,1994-01-01,1.561
121,1994-02-01,1.555
122,1994-03-01,1.576
123,1994-04-01,1.482
124,1994-05-01,1.489
125,1994-06-01,1.511
126,1994-07-01,1.456
127,1994-08-01,1.46
128,1994-09-01,1.463
129,1994-10-01,1.416
130,1994-11-01,1.376
131,1994-12-01,1.38
132,1995-01-01,1.381
133,1995-02-01,1.426
134,1995-03-01,1.392
135,1995-04-01,1.365
136,1995-05-01,1.322
137,1995-06-01,1.333
138,1995-07-01,1.365
139,1995-08-01,1.328
140,1995-09-01,1.376
141,1995-10-01,1.371
142,1995-11-01,1.368
143,1995-12-01,1.403
144,1996-01-01,1.35
145,1996-02-01,1.403
146,1996-03-01,1.375
147,1996-04-01,1.354
148,1996-05-01,1.319
149,1996-06-01,1.324
150,1996-07-01,1.352
151,1996-08-01,1.391
152,1996-09-01,1.36
153,1996-10-01,1.371
154,1996-11-01,1.403
155,1996-12-01,1.424
156,1997-01-01,1.409
157,1997-02-01,1.398
158,1997-03-01,1.356
159,1997-04-01,1.381
160,1997-05-01,1.382
161,1997-06-01,1.408
162,1997-07-01,1.402
163,1997-08-01,1.394
164,1997-09-01,1.42
165,1997-10-01,1.406
166,1997-11-01,1.409
167,1997-12-01,1.392
168,1998-01-01,1.457
169,1998-02-01,1.398
170,1998-03-01,1.413
171,1998-04-01,1.419
172,1998-05-01,1.411
173,1998-06-01,1.388
174,1998-07-01,1.447
175,1998-08-01,1.426
176,1998-09-01,1.361
177,1998-10-01,1.393
178,1998-11-01,1.442
179,1998-12-01,1.388
180,1999-01-01,1.382
181,1999-02-01,1.431
182,1999-03-01,1.404
183,1999-04-01,1.429
184,1999-05-01,1.444
185,1999-06-01,1.448
186,1999-07-01,1.435
187,1999-08-01,1.442
188,1999-09-01,1.484
189,1999-10-01,1.496
190,1999-11-01,1.518
191,1999-12-01,1.528
192,2000-01-01,1.483
193,2000-02-01,1.516
194,2000-03-01,1.532
195,2000-04-01,1.584
196,2000-05-01,1.57
197,2000-06-01,1.556
198,2000-07-01,1.574
199,2000-08-01,1.611
200,2000-09-01,1.579
201,2000-10-01,1.582
202,2000-11-01,1.621
203,2000-12-01,1.625
204,2001-01-01,1.693
205,2001-02-01,1.732
206,2001-03-01,1.74
207,2001-04-01,1.763
208,2001-05-01,1.735
209,2001-06-01,1.703
210,2001-07-01,1.68
211,2001-08-01,1.634
212,2001-09-01,1.717
213,2001-10-01,1.713
214,2001-11-01,1.747
215,2001-12-01,1.713
216,2002-01-01,1.734
217,2002-02-01,1.7
218,2002-03-01,1.74
219,2002-04-01,1.784
220,2002-05-01,1.737
221,2002-06-01,1.719
222,2002-07-01,1.659
223,2002-08-01,1.669
224,2002-09-01,1.676
225,2002-10-01,1.721
226,2002-11-01,1.721
227,2002-12-01,1.693
228,2003-01-01,1.722
229,2003-02-01,1.778
230,2003-03-01,1.858
231,2003-04-01,1.855
232,2003-05-01,1.856
233,2003-06-01,1.932
234,2003-07-01,1.878
235,2003-08-01,2.006
236,2003-09-01,2.022
237,2003-10-01,2.01
238,2003-11-01,2.256
239,2003-12-01,2.232
240,2004-01-01,2.26
241,2004-02-01,2.25
242,2004-03-01,2.196
243,2004-04-01,2.089
244,2004-05-01,2.125
245,2004-06-01,2.078
246,2004-07-01,2.095
247,2004-08-01,2.13
248,2004-09-01,2.121
249,2004-10-01,2.21
250,2004-11-01,2.216
251,2004-12-01,2.14
252,2005-01-01,2.191
253,2005-02-01,2.229
254,2005-03-01,2.218
255,2005-04-01,2.309
256,2005-05-01,2.363
257,2005-06-01,2.338
258,2005-07-01,2.299
259,2005-08-01,2.422
260,2005-09-01,2.377
261,2005-10-01,2.206
262,2005-11-01,2.302
263,2005-12-01,2.303
264,2006-01-01,2.277
265,2006-02-01,2.188
266,2006-03-01,2.251
267,2006-04-01,2.228
268,2006-05-01,2.24
269,2006-06-01,2.237
270,2006-07-01,2.147
271,2006-08-01,2.213
272,2006-09-01,2.202
273,2006-10-01,2.206
274,2006-11-01,2.206
275,2006-12-01,2.259
276,2007-01-01,2.185
277,2007-02-01,2.304
278,2007-03-01,2.292
279,2007-04-01,2.254
280,2007-05-01,2.307
281,2007-06-01,2.333
282,2007-07-01,2.366
283,2007-08-01,2.395
284,2007-09-01,2.372
285,2007-10-01,2.26
286,2007-11-01,2.289
287,2007-12-01,2.234
288,2008-01-01,2.328
289,2008-02-01,2.381
290,2008-03-01,2.293
291,2008-04-01,2.323
292,2008-05-01,2.313
293,2008-06-01,2.269
294,2008-07-01,2.258
295,2008-08-01,2.371
296,2008-09-01,2.419
297,2008-10-01,2.402
298,2008-11-01,2.357
299,2008-12-01,2.406
300,2009-01-01,2.357
301,2009-02-01,2.436
302,2009-03-01,2.269
303,2009-04-01,2.251
304,2009-05-01,2.257
305,2009-06-01,2.234
306,2009-07-01,2.147
307,2009-08-01,2.134
308,2009-09-01,2.138
309,2009-10-01,2.177
310,2009-11-01,2.062
311,2009-12-01,2.186
312,2010-01-01,2.279
313,2010-02-01,2.277
314,2010-03-01,2.24
315,2010-04-01,2.364
316,2010-05-01,2.309
317,2010-06-01,2.4
318,2010-07-01,2.453
319,2010-08-01,2.502
320,2010-09-01,2.398
321,2010-10-01,2.397
322,2010-11-01,2.394
323,2010-12-01,2.378
324,2011-01-01,2.533
325,2011-02-01,2.659
326,2011-03-01,2.715
327,2011-04-01,2.722
328,2011-05-01,2.694
329,2011-06-01,2.774
330,2011-07-01,2.818
331,2011-08-01,2.819
332,2011-09-01,2.868
333,2011-10-01,2.876
334,2011-11-01,2.899
335,2011-12-01,2.921
336,2012-01-01,3.005
337,2012-02-01,2.947
338,2012-03-01,3.016
339,2012-04-01,2.998
340,2012-05-01,2.995
341,2012-06-01,3.007
342,2012-07-01,3.085
343,2012-08-01,2.991
344,2012-09-01,3.024
345,2012-10-01,3.0995
346,2012-11-01,3.175
347,2012-12-01,3.08
348,2013-01-01,3.407
349,2013-02-01,3.379
350,2013-03-01,3.332
351,2013-04-01,3.268
352,2013-05-01,3.311
353,2013-06-01,3.382
354,2013-07-01,3.459
355,2013-08-01,3.454
356,2013-09-01,3.502
357,2013-10-01,3.389
358,2013-11-01,3.477
359,2013-12-01,3.46
360,2014-01-01,3.467
361,2014-02-01,3.555
362,2014-03-01,3.698
363,2014-04-01,3.808
364,2014-05-01,3.856
365,2014-06-01,3.88
366,2014-07-01,3.884
367,2014-08-01,4.013
368,2014-09-01,4.096
369,2014-10-01,4.154
370,2014-11-01,4.201
371,2014-12-01,4.156
372,2015-01-01,4.235
373,2015-02-01,4.238
374,2015-03-01,4.2
375,2015-04-01,4.231
376,2015-05-01,4.136
377,2015-06-01,4.221
378,2015-07-01,4.2
379,2015-08-01,4.159
380,2015-09-01,4.126
381,2015-10-01,4.083
382,2015-11-01,4.113
383,2015-12-01,4.06
384,2016-01-01,3.978
385,2016-02-01,3.964
386,2016-03-01,3.955
387,2016-04-01,3.815
388,2016-05-01,3.717
389,2016-06-01,3.725
390,2016-07-01,3.69
391,2016-08-01,3.657
392,2016-09-01,3.665
393,2016-10-01,3.679
394,2016-11-01,3.597
395,2016-12-01,3.559
396,2017-01-01,3.553
397,2017-02-01,3.557
398,2017-03-01,3.594
399,2017-04-01,3.547
400,2017-05-01,3.559
401,2017-06-01,3.679
402,2017-07-01,3.754
403,2017-08-01,3.732
404,2017-09-01,3.707
405,2017-10-01,3.688
406,2017-11-01,3.638
407,2017-12-01,3.708
408,2018-01-01,3.641
409,2018-02-01,3.642
410,2018-03-01,3.657
411,2018-04-01,3.73
412,2018-05-01,3.685
413,2018-06-01,3.729
414,2018-07-01,3.745
415,2018-08-01,3.792
416,2018-09-01,3.743
417,2018-10-01,3.714
418,2018-11-01,3.781
419,2018-12-01,3.725
420,2019-01-01,3.801
421,2019-02-01,3.758
422,2019-03-01,3.725
423,2019-04-01,3.775
424,2019-05-01,3.822
425,2019-06-01,3.812
426,2019-07-01,3.8
427,2019-08-01,3.819
428,2019-09-01,3.851
429,2019-10-01,3.841
430,2019-11-01,3.812
431,2019-12-01,3.862
432,2020-01-01,3.886
433,2020-02-01,3.865
434,2020-03-01,3.881
435,2020-04-01,4.052
436,2020-05-01,4.461
437,2020-06-01,4.737
438,2020-07-01,4.264
439,2020-08-01,4.177
440,2020-09-01,4.076
441,2020-10-01,4.008
442,2020-11-01,4.027
443,2020-12-01,3.951
444,2021-01-01,3.965
445,2021-02-01,3.987
446,2021-03-01,4.042
447,2021-04-01,4.096
448,2021-05-01,4.101
449,2021-06-01,4.357
450,2021-07-01,4.388
451,2021-08-01,4.468
452,2021-09-01,4.504
453,2021-10-01,4.719
454,2021-11-01,4.716
455,2021-12-01,4.604
456,2022-01-01,4.554
457,2022-02-01,4.63
458,2022-03-01,4.757
459,2022-04-01,4.916
460,2022-05-01,4.794
461,2022-06-01,4.889
462,2022-07-01,4.893
463,2022-08-01,4.937
464,2022-09-01,4.862
465,2022-10-01,4.836
466,2022-11-01,4.853
467,2022-12-01,4.8
468,2023-01-01,4.791
